cuenta,nomenclatura,porcentaje_copropiedad,superficie_mejoras,superficie_mejoras_propias,superficie_mejoras_comunes,superficie_parcela,antiguedad,puntaje,d_viasprin,cantidad_cuentas,cantidad_cuentas_250,vut,x,y,valor_omi,fechavalor,valuacion_,log_valuacion,log_val_omi,fechavalor_dt
110140212326,1101010114017028,0.112,43.16,36.0,7.16,200.0,30.0,64.0,200,10,750,160,4388379.311,6527032.036,4872000.0,08/2022,3550321.823706,6.550267844373368,6.687707368765714,2022-08-01
110141279734,1101010115020007,0.063,50.42,37.0,13.42,400.0,10.0,64.0,300,17,1025,290,4388791.404,6525791.696,6089999.999999999,08/2022,6750069.081804999,6.829308281865572,6.784617363945593,2022-08-01
110124222567,1101010115033011,0.093,76.1,58.0,18.1,400.0,19.0,64.0,450,14,1352,290,4388845.432,6525673.117,10150000.0,02/2022,11314975.796145,7.053653667675059,7.006466085036863,2022-02-01
110124501768,1101010115033014,0.093,74.83,56.12,18.71,400.0,16.0,64.0,500,14,1253,290,4388854.982,6525644.318,62000000.00000001,07/2024,65492109.18589498,7.816188983822079,7.792391696503003,2024-07-01
110124375321,1101010116011022,0.089,72.49,60.61,11.88,356.3999,16.0,64.0,150,14,751,240,4389351.543,6526150.572,76880000.0,05/2024,64248545.950638,7.807863310081842,7.88581338030948,2024-05-01
110141599861,1101010116017020,0.13,79.68,63.0,16.68,289.3699,18.0,64.0,250,12,1089,260,4388944.876,6525921.322,25899900.0,10/2023,32858156.146536004,7.516643202326871,7.413298104033535,2023-10-01
110140258750,1101010116025025,0.062,51.93,42.0,9.93,299.8003,13.0,64.0,100,17,1065,220,4389460.507,6525971.207,5582500.0,03/2022,6950403.0792000005,6.842010054124712,6.746828809539166,2022-03-01
110121111659,1101010116033028,0.111,80.02,55.0,25.02,250.0,45.0,64.0,300,10,1296,240,4389283.031,6525776.577,12586000.0,08/2022,7776745.939573999,6.890797966958887,7.099887761917621,2022-08-01
110121111675,1101010116033028,0.114,81.74,56.0,25.74,250.0,45.0,64.0,300,10,1296,240,4389283.031,6525776.577,7713999.999999998,08/2022,6585892.128549,6.818614678993863,6.887279690829537,2022-08-01
110141223429,1101010116035016,0.029,47.19,33.0,14.19,200.28,11.0,68.0,100,33,1127,240,4389472.108,6525846.588,17930700.0,11/2023,18155851.273392,7.259016640411873,7.253597268618551,2023-11-01
